127.0.0.1 - - [25/Apr/2023:18:42:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:42:58 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:42:58 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:42:58 +0530] "GET /project_3/img/index.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:42:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:43:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:43:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:43:20 +0530] "GET /project_3/img/whit2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:15 +0530] "GET /project_3/img/Login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:15 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:33 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:35 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:35 +0530] "GET /project_3/img/StudyTable.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:22 +0530] "GET /project_3/ HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:59 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12169
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:47:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:49:02 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12322
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:49:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Apr/2023:18:49:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
